Dis Loss: 0.00505055859685, Cls Loss: 0.0629364699125, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00350512797013, Cls Loss: 0.0760557428002, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00371325272135, Cls Loss: 0.0363791808486, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00418157037348, Cls Loss: 0.12404447794, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00380450929515, Cls Loss: 0.0583959147334, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00499662337825, Cls Loss: 0.0246373452246, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00492464518175, Cls Loss: 0.152146041393, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00411057798192, Cls Loss: 0.0738733112812, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00432006036863, Cls Loss: 0.0773489102721, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.005784294568, Cls Loss: 0.0629475861788, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00267514935695, Cls Loss: 0.10301348567, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00302348122932, Cls Loss: 0.0238332692534, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00361108197831, Cls Loss: 0.0807729959488, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00284019764513, Cls Loss: 0.12972868979, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00362093793228, Cls Loss: 0.0568101257086, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00546729750931, Cls Loss: 0.0592128634453, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00342573830858, Cls Loss: 0.134608700871, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00497301761061, Cls Loss: 0.0699812322855, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00336416368373, Cls Loss: 0.0736046805978, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00429906789213, Cls Loss: 0.0790677592158, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00298569747247, Cls Loss: 0.107853844762, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0031755536329, Cls Loss: 0.156428828835, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00451165623963, Cls Loss: 0.0192727744579, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00421656994149, Cls Loss: 0.0594312474132, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0050105410628, Cls Loss: 0.156177505851, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00470406422392, Cls Loss: 0.0755702778697, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00336070358753, Cls Loss: 0.0805172324181, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.004280324094, Cls Loss: 0.0691900476813, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00417717173696, Cls Loss: 0.130094155669, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00336504052393, Cls Loss: 0.0347976088524, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00330058042891, Cls Loss: 0.0670301020145, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00478171044961, Cls Loss: 0.0160610731691, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00342379207723, Cls Loss: 0.0681992769241, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00253219390288, Cls Loss: 0.0226874481887, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00355479470454, Cls Loss: 0.0486062765121, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00282041728497, Cls Loss: 0.0907536819577, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00399726582691, Cls Loss: 0.0737735033035, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00471308920532, Cls Loss: 0.0530179291964, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00450990861282, Cls Loss: 0.0423623323441, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00480007519946, Cls Loss: 0.0181928016245, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0035850845743, Cls Loss: 0.166106507182, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00450746295974, Cls Loss: 0.0182992517948, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00498038670048, Cls Loss: 0.0431930832565, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00271419575438, Cls Loss: 0.104042746127, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00427831569687, Cls Loss: 0.0295623596758, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00321475090459, Cls Loss: 0.0229330658913, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00369507516734, Cls Loss: 0.0861396640539, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00369632034563, Cls Loss: 0.0460176132619, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00286093493924, Cls Loss: 0.0172299966216, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00490171322599, Cls Loss: 0.0776693746448, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00411299988627, Cls Loss: 0.0282558891922, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00458105280995, Cls Loss: 0.116378813982, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00599916884676, Cls Loss: 0.0564890913665, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00354321091436, Cls Loss: 0.0543925464153, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00155441684183, Cls Loss: 0.101817071438, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00411869958043, Cls Loss: 0.0668775439262, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00649306504056, Cls Loss: 0.0597132444382, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0048693343997, Cls Loss: 0.0541714504361, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00391428312287, Cls Loss: 0.0604442432523, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00543193845078, Cls Loss: 0.0975139811635, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00529876584187, Cls Loss: 0.074589818716, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00587701890618, Cls Loss: 0.046294644475, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00575475534424, Cls Loss: 0.0465457551181, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00320053333417, Cls Loss: 0.087657853961, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00315615464933, Cls Loss: 0.0458883568645, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00321982288733, Cls Loss: 0.0363517850637, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00380116188899, Cls Loss: 0.0939439088106, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00293942703865, Cls Loss: 0.0320774838328, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0045956983231, Cls Loss: 0.0672373920679, Lr C: 0.0002, Lr G: 0.0002 
